label,runtime,energy
CG_64_turbo,140.99,34753.494132
CG_64_2.0GHz,142.5300,30259.0032
CG_64_1.70GHz,144.32,27853.6969
CG_64_1.50GHz,144.76,26563.5495
CG_64_2.0GHz_220W,142.89,30210.058073
CG_64_2.0GHz_200W,146.32,29190.248324
CG_64_2.0GHz_180W,152.05,28098.630979
CG_64_2.0GHz_160W,154.11,25348.995069
CG_64_1.70GHz_220W,144.28,27913.025786
CG_64_1.50GHz_220W,144.97,26507.974287
CG_64_1.70GHz_200W,145.04,27941.756494
CG_64_1.50GHz_200W,145.11,26557.991598
CG_64_1.70GHz_180W,149.27,26833.355242
CG_64_1.50GHz_180W,144.86,26601.982793
CG_128_2.0GHz,144.86,31782.605564
CG_128_turbo,143.72,35498.128856
